rank,title,artists,director,year,cost_nominal,cost_adj
1,Scream,Michael Jackson & Janet Jackson,Mark Romanek,1995,"$7,000,000","$13,996,943"
2,Die Another Day,Madonna,Traktor,2002,"$6,100,000","$10,333,321"
3,Express Yourself,Madonna,David Fincher,1989,"$5,000,000","$12,289,933"
3,Bedtime Story,Madonna,Mark Romanek,1995,"$5,000,000","$9,997,816"
5,Estranged,Guns N' Roses,Andy Morahan,1993,"$5,000,000","$10,545,957"
6,Black or White,Michael Jackson,John Landis,1991,"$4,000,000","$8,947,960"
6,Make Me Like You,Gwen Stefani,Sophie Muller,2016,"$4,000,000","$5,078,203"
8,Cartoon Heroes,Aqua,Thomas Masin,2000,"$3,500,000","$6,192,464"
9,Rollin' (Air Raid Vehicle),Limp Bizkit,Fred Durst,2000,"$3,000,000","$4,614,581"
10,Victory,Puff Daddy(featuring The Notorious B.I.G. & Busta Rhymes),Marcus Nispel,1998,"$2,700,000","$5,047,203"
11,2 Legit 2 Quit,MC Hammer,Rupert Wainwright,1991,"$2,500,000","$5,592,475"
11,Heartbreaker,Mariah Carey (featuring Jay-Z),Brett Ratner,1999,"$2,500,000","$4,572,513"
11,Doesn't Really Matter,Janet Jackson,Joseph Kahn,2000,"$2,500,000","$4,572,513"
14,What's It Gonna Be?!,Busta Rhymes (featuring Janet Jackson),Hype Williams,1999,"$2,400,000","$4,389,612"
15,It's All Coming Back to Me Now,Celine Dion,Nigel Dick,1996,"$2,300,000","$4,468,237"
16,Bad,Michael Jackson,Martin Scorsese,1987,"$2,200,000","$5,900,176"
17,Larger Than Life,Backstreet Boys,Joseph Kahn,1999,"$2,100,000","$3,840,911"
18,Remember the Time,Michael Jackson,John Singleton,1992,"$2,000,000","$4,342,424"
18,Honey,Mariah Carey,Paul Hunter,1997,"$2,000,000","$3,796,020"
18,Miami,Will Smith,Wayne Isham,1999,"$2,000,000","$3,658,010"
18,She's a Bitch,Missy Elliott,Hype Williams,1999,"$2,000,000","$3,658,010"
18,Freeek!,George Michael,Joseph Kahn,2002,"$2,000,000","$3,387,974"
18,My Name's Women,Ayumi Hamasaki,Wataru Takeishi,2005,"$2,000,000","$3,120,123"
18,Fairyland,Ayumi Hamasaki,Wataru Takeishi,2005,"$2,000,000","$3,120,123"
25,Me Against the Music,Britney Spears (featuring Madonna),Paul Hunter,2003,"$1,750,000","$2,898,517"
26,Green,Ayumi Hamasaki,Kazuyoshi Shimomura,2008,"$1,600,000","$2,808,110"
26,Unpretty,TLC,Paul Hunter,1999,"$1,600,000","$2,926,408"
28,November Rain,Guns N' Roses,Andy Morahan,1992,"$1,500,000","$3,256,818"
28,Girlfriend/Boyfriend,Blackstreet & Janet Jackson (featuring Eve & Ja Rule),Joseph Kahn,1999,"$1,500,000","$2,743,508"
28,Give Me All Your Luvin',Madonna (featuring Nicki Minaj & M.I.A.),Megaforce,2012,"$1,500,000","$1,990,723"
31,Here Comes the Hammer,MC Hammer,MC Hammer,1990,"$1,000,000","$2,332,145"
31,Ready or Not,Fugees,Marcus Nispel,1996,"$1,300,000","$2,525,525"
33,Work Bitch[a],Britney Spears,Ben Mor,2013,"$1,200,000","$1,569,600"
33,Stronger,Kanye West,Hype Williams,2007,"$1,200,000","$1,763,312"
33,I'm Not Perfect (But I'm Perfect for You),Grace Jones,Grace Jones,1986,"$1,200,000","$3,335,519"
36,Jewel,Ayumi Hamasaki,Wataru Takeishi,2006,"$1,100,000","$1,662,529"
37,Party All Night,Yo Yo Honey Singh & Meet Bros,Anthony D'Souza,2013,"$1,025,000","$1,655,352"
37,Hurt,Oliver Tree,Oliver Tree,2018,"$1,024,000","$1,242,479"
39,The Wild Boys,Duran Duran,Russell Mulcahy,1984,"$1,000,000","$2,932,735"
39,Dominion/Mother Russia,The Sisters of Mercy,Andrew Eldritch,1988,"$1,000,000","$2,576,252"
39,Love Is Strong,The Rolling Stones,David Fincher,1994,"$1,000,000","$2,055,680"
39,Waterfalls,TLC,F. Gary Gray,1995,"$1,000,000","$1,999,563"
39,I Get Lonely (remix),Janet Jackson,Paul Hunter,1998,"$1,000,000","$1,869,334"
39,L'Âme-stram-gram,Mylène Farmer,Ching Siu-tung,1999,"$1,000,000","$1,829,005"
39,Love,S.E.S.,Hong JongHo,1999,"$1,000,000","$1,829,005"
39,Thong Song (remix),Sisqó & Foxy Brown,Little X,2000,"$1,000,000","$1,769,275"
39,Don't Say Goodbye,Paulina Rubio,The Brothers Strause,2002,"$1,000,000","$1,693,987"
39,Toxic,Britney Spears,Joseph Kahn,2004,"$1,000,000","$1,613,108"
