tree,species,class,ht_meters,ht_feet,location,continent,name
Coast redwood,Sequoia sempervirens,Conifer,116.07,380.8,"Redwood National Park, California, United States",Western North America,Hyperion
Himalayan cypress,Cupressus torulosa,Conifer,102.3,336,"Yarlung Zangbo Grand Canyon, Bomê County, Nyingchi Prefecture, Tibet Autonomous Region, China",East Asia,NA
Yellow meranti,Shorea faguetiana,Flowering plant,100.8,331,"Danum Valley Conservation Area, Sabah, Malaysia on Borneo island",Southeast Asia,Menara
Mountain ash,Eucalyptus regnans,Flowering plant,100.5,329.7,"Arve Valley, Tasmania, Australia",Southeastern Australia,Centurion
Sitka spruce,Picea sitchensis,Conifer,100.2,329,"Prairie Creek Redwoods State Park, California, United States",Western North America,NA
Coast Douglas-fir,Pseudotsuga menziesii var. menziesii,Conifer,99.7,327,"Brummit Creek, Coos County, Oregon, United States",Western North America,Doerner Fir
Giant sequoia,Sequoiadendron giganteum,Conifer,96.3,316,"Sequoia National Forest, California, United States",Western North America,NA
Southern blue gum,Eucalyptus globulus,Flowering plant,90.7,298,Tasmania,Southeastern Australia,"Neeminah Loggerale Meena, or Mother and Daughter."
Noble Fir,Abies procera,Conifer,89.9,295,"Goat Marsh Research Natural Area, Washington, United States",Western North America,NA
Manna gum,Eucalyptus viminalis,Flowering plant,89,292,"Evercreech Forest Reserve, Tasmania",Southeastern Australia,White Knight
Dinizia excelsa,NA,Flowering plant,88.5,290,"Near the boundary of Amapa and Para states, Brazil.",Central-Northeastern South America,NA
Brown top stringbark,Eucalyptus obliqua,Flowering plant,88.5,290,Tasmania,Southeastern Australia,Princess Picabella
Alpine ash,Eucalyptus delegatensis,Flowering plant,87.9,288,Tasmania,Southeastern Australia,NA
Mengaris,Koompassia excelsa,Flowering plant,85.76,281.4,"Tawau Hills National Park, in Sabah on the island of Borneo",Southeast Asia,Pontiankak Putih Cantik
Mountain Grey Gum,Eucalyptus cypellocarpa,Flowering plant,85,278.9,Victoria,Southeastern Australia,NA
Karri,Eucalyptus diversicolor,Flowering Plant,85,278.9,Western Australia,South Western Australia,Stewart Karri
Shorea argentifolia,NA,Flowering plant,84.85,278.4,"Gaharu ridge of Tawau Hills National Park, in Sabah on the island of Borneo.",Southeast Asia,NA
Shorea superba,NA,Flowering plant,84.41,276.9,"Gergassi Ridge of Tawau Hills National Park, in Sabah on the island of Borneo.",Southeast Asia,NA
Shining gum,Eucalyptus nitens,Flowering plant,84.3,277,"O'Shannassy Catchment, Victoria",Southeastern Australia,NA
Taiwania,Taiwania cryptomerioides,Conifer,84.1,276,North-central Taiwan,East Asia,NA
Sugar pine,Pinus lambertiana,Conifer,83.45,273.8,"near Yosemite National Park, California, United States.",Western North America,NA
Abies chensiensis var. salouenensis,NA,Conifer,83.4,274,"Zayü County, Nyingchi Prefecture, Tibet Autonomous Region, China",East Asia,NA
Western hemlock,Tsuga heterophylla,Conifer,83.34,273.4,"Prairie Creek Redwoods State Park, California, United States.",Western North America,Tsunami
Hopea nutans,NA,Flowering plant,82.82,271.7,"Gaharu ridge of Tawau Hills National Park, in Sabah on the island of Borneo.",Southeast Asia,NA
Shorea johorensis,NA,Flowering plant,82.39,270.3,"Coco-Park boundary of Tawau Hills National Park, in Sabah on the island of Borneo.",Southeast Asia,NA
Shorea smithiana,NA,Flowering plant,82.27,269.9,"Coco-Park boundary of Tawau Hills National Park, in Sabah on the island of Borneo.",Southeast Asia,NA
Ponderosa pine,Pinus ponderosa,Conifer,81.77,268.3,"in Myers Creek drainage of Rogue River – Siskiyou National Forest, Oregon, United States.",Western North America,Phalanx
Entandrophragma excelsum,NA,Flowering plant,81.5,267,"at Kilimanjaro, Tanzania",Eastern Africa,NA
Sydney blue gum,Eucalyptus saligna,Flowering plant,81.5,267,"Woodbush State Forest, Magoebaskloof, Limpopo, South Africa. The world's tallest planted tree.","Southern Africa (non native), but endemic to eastern Australia)",NA
Grand fir,Abies grandis,Conifer,81.4,267,"in the Glacier Peak Wilderness, Washington, United States.",Western North America,NA
Shorea gibbosa,NA,Flowering plant,81.11,266.1,"River Flats of Tawau Hills National Park, in Sabah on the island of Borneo.",Southeast Asia,NA
Lawson cypress,Chamaecyparis lawsoniana,Conifer,81.08,266,"In Jedediah Smith Redwoods State Park, California, United States.",Western North America,NA
