species	ht_meters	ht_feet	class	location	continent	name
Coast redwood (Sequoia sempervirens)	116.07	380.8	Conifer	Redwood National Park, California, United States	Western North America	Hyperion
Himalayan cypress (Cupressus torulosa)	102.3	336	Conifer	Yarlung Zangbo Grand Canyon, Bomê County, Nyingchi Prefecture, Tibet Autonomous Region, China	East Asia	NA
Yellow meranti (Shorea faguetiana)[note 1]	100.8	331	Flowering plant	Danum Valley Conservation Area, Sabah, Malaysia on Borneo island	Southeast Asia	Menara
Mountain ash (Eucalyptus regnans)	100.5	329.7	Flowering plant	Arve Valley, Tasmania, Australia	Southeastern Australia	Centurion
Sitka spruce (Picea sitchensis)	100.2	329	Conifer	Prairie Creek Redwoods State Park, California, United States	Western North America	NA
Coast Douglas-fir (Pseudotsuga menziesii var. menziesii)	99.7	327	Conifer	Brummit Creek, Coos County, Oregon, United States	Western North America	Doerner Fir
Giant sequoia (Sequoiadendron giganteum)	96.3	316	Conifer	Sequoia National Forest, California, United States	Western North America	NA
Southern blue gum (Eucalyptus globulus)	90.7	298	Flowering plant	Tasmania	Southeastern Australia	Neeminah Loggerale Meena, or Mother and Daughter.
Noble Fir (Abies procera)	89.9	295	Conifer	Goat Marsh Research Natural Area, Washington, United States	Western North America	NA
Manna gum (Eucalyptus viminalis)	89.0	292.0	Flowering plant	Evercreech Forest Reserve, Tasmania	Southeastern Australia	White Knight
Dinizia excelsa	88.5	290	Flowering plant	Near the boundary of Amapa and Para states, Brazil.	Central-Northeastern South America	NA
Brown top stringbark (Eucalyptus obliqua)	88.5	290	Flowering plant	Tasmania	Southeastern Australia	Princess Picabella
Alpine ash (Eucalyptus delegatensis)	87.9	288	Flowering plant	Tasmania	Southeastern Australia	NA
Mengaris (Koompassia excelsa)	85.76	281.4	Flowering plant	Tawau Hills National Park, in Sabah on the island of Borneo	Southeast Asia	Pontiankak Putih Cantik
Mountain Grey Gum (Eucalyptus cypellocarpa)	85.0	278.9	Flowering plant	Victoria	Southeastern Australia	NA
Karri (Eucalyptus diversicolor)	85.00	278.9	Flowering Plant	Western Australia	South Western Australia	Stewart Karri
Shorea argentifolia	84.85	278.4	Flowering plant	Gaharu ridge of Tawau Hills National Park, in Sabah on the island of Borneo.	Southeast Asia	NA
Shorea superba	84.41	276.9	Flowering plant	Gergassi Ridge of Tawau Hills National Park, in Sabah on the island of Borneo.	Southeast Asia	NA
Shining gum (Eucalyptus nitens)	84.3	277	Flowering plant	O'Shannassy Catchment, Victoria	Southeastern Australia	NA
Taiwania (Taiwania cryptomerioides)	84.1	276	Conifer	North-central Taiwan	East Asia	NA
Sugar pine (Pinus lambertiana)	83.45	273.8	Conifer	near Yosemite National Park, California, United States.	Western North America	NA
Abies chensiensis var. salouenensis	83.4	274	Conifer	Zayü County, Nyingchi Prefecture, Tibet Autonomous Region, China	East Asia	NA
Western hemlock (Tsuga heterophylla)	83.34	273.4	Conifer	Prairie Creek Redwoods State Park, California, United States.	Western North America	Tsunami
Hopea nutans	82.82	271.7	Flowering plant	Gaharu ridge of Tawau Hills National Park, in Sabah on the island of Borneo.	Southeast Asia	NA
Shorea johorensis	82.39	270.3	Flowering plant	Coco-Park boundary of Tawau Hills National Park, in Sabah on the island of Borneo.	Southeast Asia	NA
Shorea smithiana	82.27	269.9	Flowering plant	Coco-Park boundary of Tawau Hills National Park, in Sabah on the island of Borneo.	Southeast Asia	NA
Ponderosa pine (Pinus ponderosa)	81.77	268.3	Conifer	in Myers Creek drainage of Rogue River – Siskiyou National Forest, Oregon, United States.	Western North America	Phalanx
Entandrophragma excelsum	81.5	267	Flowering plant	at Kilimanjaro, Tanzania	Eastern Africa	NA
Sydney blue gum (Eucalyptus saligna)	81.5	267	Flowering plant	Woodbush State Forest, Magoebaskloof, Limpopo, South Africa. The world's tallest planted tree.	Southern Africa (non native), but endemic to eastern Australia)	NA
Grand fir (Abies grandis)	81.4	267	Conifer	in the Glacier Peak Wilderness, Washington, United States.	Western North America	NA
Shorea gibbosa	81.11	266.1	Flowering plant	River Flats of Tawau Hills National Park, in Sabah on the island of Borneo.	Southeast Asia	NA
Lawson cypress (Chamaecyparis lawsoniana)	81.08	266.0	Conifer	In Jedediah Smith Redwoods State Park, California, United States.	Western North America	NA
